,name,album,artist,id,release_date,loudness,speechiness,tempo,key,time_signature
0,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,37BZB0z9T8Xu7U3e65qxFy,2021-04-23,-4.645,0.0325,118.091,0,4
1,Heat Waves,Heat Waves,Glass Animals,6CDzDgIUqeDY5g8ujExx2f,2020-06-29,-6.9,0.0944,80.87,11,4
2,Harleys In Hawaii,Smile,Katy Perry,3B4etxytImrRKQgV3XHjnR,2020-08-28,-6.203,0.125,140.095,10,4
3,Every Summertime,Every Summertime,NIKI,68HocO7fx9z0MgDU0ZPHro,2021-08-10,-4.227,0.0424,78.996,6,4
4,Fortune Cookie Yang Mencinta,Mahagita: Kamikyokutachi,JKT48,469lObbmed3vMkCi7EaXib,2016-04-03,-2.796,0.0582,122.014,2,4
5,Karena Kusuka Dirimu,Heavy Rotation,JKT48,5MvvfIkbTM4MxCJa3gfh3R,2013,-4.08,0.0726,158.058,6,4
6,Rapsodi,Rapsodi,JKT48,7rlrbIP5lcQH8s9MKL0qPf,2020-01-22,-6.638,0.0349,144.975,1,4
7,River,Mahagita: Kamikyokutachi,JKT48,21UirZHRZi1xTc2Fx50nQ8,2016-04-03,-2.464,0.0481,106.502,7,4
8,あの夢をなぞって,あの夢をなぞって,YOASOBI,4BE1OloRc9xwjyqA4wFFuN,2020-01-18,-3.446,0.04,180.029,8,4
9,Heavy Rotation,Heavy Rotation,JKT48,7EdzxaYQzbOqOlmwzjDFwX,2013,-1.101,0.045,178.039,1,4
10,Let It All Go,Let It All Go,Birdy,70K0ezmzYEZeqoSaZMyP7o,2015-08-06,-8.644,0.0302,107.005,10,4
11,Tafsir Mistik,Ombak Banyu Asmara,The Panturas,7aPrTAoaoLGMo1J19RifzN,2021-09-10,-7.175,0.0436,115.284,2,4
12,Mistikus Cinta,Cintailah Cinta,Dewa,50eBgQYY23rTTIoHVDuSIw,2002,-6.384,0.0411,96.935,7,4
13,Sanctuary,Nectar,Joji,0rOLFkjY5DSIViVBNnzOuK,2020-09-25,-7.474,0.11,167.834,1,4
14,i <3 u,Wachito Rico,boy pablo,5EcGSkkNBMAWOePvLgKde1,2020-10-23,-13.079,0.0416,86.978,9,4
15,Whiskey Bottle,Whiskey Bottle,GANGGA,6FPC5aJiqfqccXxlJoUmwv,2021-06-25,-7.592,0.028,150.028,7,4
16,double take,double take,dhruv,47isJpIIO8m7BJEhiFhnaf,2019-05-24,-11.156,0.0867,108.678,8,4
17,Love Me,Love Me,RealestK,4qgMPzf9QOETWQFUcFkHD4,2022-02-18,-9.66,0.0376,122.051,7,3
18,Swim,Chase Atlantic,Chase Atlantic,3M0lSi5WW79CXQamgSBIjx,2017-10-04,-6.429,0.0392,120.134,8,4
19,Give Me the Night,Give Me the Night,George Benson,5gaUkg5JNk8c4mr2jnpX8H,1980-07-16,-7.831,0.0681,110.282,1,4
20,Ghost,Justice,Justin Bieber,6I3mqTwhRpn34SLVafSH7G,2021-03-19,-5.569,0.0478,153.96,2,4
21,An Art Gallery Could Never Be As Unique As You,An Art Gallery Could Never Be As Unique As You,mrld,1Ry0l6trESL8T4ddsRaYLE,2019-12-11,-12.077,0.0525,121.75,7,4
22,Right Here Right Now (Feat. LOCO & JAY PARK),Coming To You Live,DPR LIVE,47UUNYT0lsDnX9EYHIBf3L,2017-03-15,-6.395,0.101,122.864,4,4
23,BOHEMIAN,ROMANTIQUE (Mastered by Bernie Grundman),Taeko Onuki,5ULmKQMAwbdVxHNvDtsUzm,1980-07-21,-12.673,0.0327,125.56,10,4
24,No Sleep (feat. Bonn),No Sleep (feat. Bonn),Martin Garrix,1ahVFh0ViDZr8LvkEVlq3B,2019-02-21,-6.385,0.0326,128.133,11,4
25,FOOL,FATE NUMBER FOR,WINNER,1mTlfqaoh3piVp3Uhdv7jB,2017-04-04,-5.452,0.0348,140.021,4,4
26,ONLY,4 ONLY,LeeHi,6TBJkXHPhu3EsMk1bshwuI,2021-09-09,-7.451,0.0346,122.907,5,3
27,W.H.U.T,W.H.U.T (Wanna Hold U Tight),Aisha Retno,4dtmj7X21gunWoQf98hW5L,2021-12-10,-5.349,0.0417,126.192,5,3
28,Cinematic Love,Cinematic Love,Yang Da Il,3rB5fYZr3nSD2tBAvfYPb2,2018-04-13,-5.682,0.0378,130.193,2,4
29,Kidult,Heng:garæ,SEVENTEEN,1kmmKv3L4kGmoPu8aDFOmk,2020-06-22,-3.646,0.0516,152.002,4,4
30,Forever,Forever,GANGGA,7otwxbmB0dVdjdOAhOmUG6,2021-03-26,-12.566,0.0431,128.503,7,3
31,Gagal Bersembunyi,Jabat Erat,The Rain,3w2yEEB0g2AiKF8juCtx69,2016-09-10,-6.829,0.0276,117.966,4,4
32,Semua Tentang Kita,Taman Langit,Noah,6ULZ6Hw2eYaiq1tlR5thcW,2021-12-17,-12.972,0.0301,94.954,0,4
33,Smooth Operator - Single Version,The Best of Sade,Sade,1Hv1VTm8zeOeybub15mA2R,1994-10-31,-6.619,0.0321,119.336,9,4
34,Plastic Love,Expressions,Mariya Takeuchi,7rU6Iebxzlvqy5t857bKFq,2008-05-21,-5.141,0.034,102.517,2,4
35,Summer Connection,SUNSHOWER,Taeko Onuki,7jRBeWs7TvE8N8W4tEk3nb,1977-07-25,-7.084,0.0555,105.299,3,4
36,You and I,The Best of Delegation,Delegation,1uGFGhxJ9ISGcy7iDffP7V,2010-01-14,-11.633,0.0318,112.711,11,4
37,Oh Honey,Oh Honey,Delegation,3TiCuJiisBOB9HzKAM6FDG,1978-07-17,-12.036,0.028,94.161,2,4
38,Piero laughs at us,Piero laughs at us,Various Artists,0fGbon58TJAGc3wNRkAUKV,1990-12-01,-12.152,0.0375,206.003,6,4
39,Killing Me Softly With His Song,The Score (Expanded Edition),Fugees,0Q0IVlqMV64kNLlwjPj0Hl,1996-02-13,-17.117,0.139,92.409,4,4
40,Traveler,4 Walls - The 4th Album,f(x),3EIZGrbNkBYKZpIa3YcXAt,2015-10-27,-7.252,0.0714,124.015,9,4
41,4 Walls,4 Walls - The 4th Album,f(x),2YkjXEab4USTV9uuAgC90E,2015-10-27,-4.308,0.129,125.972,4,4
42,Untuk Mencintaimu,Lelaki Hebat,Seventeen,04tvOIuyk8y0QVA8Ta0UOd,2008-01-01,-4.534,0.0267,148.28,0,4
43,L,Perspektif,Hal,66SBpMfdxpe7B2UF0hq4DR,2018-08-23,-7.015,0.032,152.791,2,4
44,Terlalu Tinggi,Sentimental,Juicy Luicy,4GHzE0rDsSkbj6V6UXZTLc,2020-11-06,-7.176,0.0296,184.763,10,3
45,keepyousafe,keepyousafe,Yahya,3Sbova9DAY3pc9GTAACT4b,2020-01-10,-11.719,0.03,86.866,3,4
46,Tolong! Kami Butuh Bantuan!,Yang Berlalu Biar Berlalu / Tolong! Kami Butuh Bantuan!,Rasukma,5QgMSGiLxwRgRNc7wLAOoV,2018-08-17,-18.639,0.0893,119.916,0,4
47,Call Me,Call Me,Rainlord.,37HRd8gZ7F1l1Awm6debTv,2019-01-30,-14.075,0.0338,76.946,4,4
48,Kau Rumahku,Kau Rumahku,raissa anggiani,7IRi1d3Nsrww8mnGv1YW4l,2022-01-10,-8.982,0.0369,169.513,1,3
49,Satu,Laskar Cinta,Dewa,6LVz9rEORZOXopyaXN9FXp,2004,-8.71,0.0289,145.944,7,4
50,Jatuh Suka,Manusia,Tulus,6PqWdGIYq5xdLaa4zCZfRp,2022-03-03,-8.954,0.0355,89.213,6,4
51,Hati-Hati di Jalan,Manusia,Tulus,2hHeGD57S0BcopfVcmehdl,2022-03-03,-11.322,0.0357,71.969,6,4
52,夜に駆ける,THE BOOK,YOASOBI,6MCjmGYlw6mQVWRFVgBRvB,2021-01-06,-5.287,0.03,130.025,8,4
53,Interaksi,Manusia,Tulus,32Pdf9eyXDEMoClEJW6yYP,2022-03-03,-8.302,0.033,177.713,9,4
